,Names,Situacoes
154,AGROPEC ALTEROSA SA,Cancelado em 14/02/2012
155,AGROPEC ALTEROSA SA,Cancelado em 28/12/2018
156,AGROPEC AMAMBAI SA,Cancelado em 14/02/2012
157,AGROPEC ANGELUS SA,Cancelado em 14/02/2012
158,AGROPEC AQUARIUS SA,Cancelado em 11/11/2010
159,AGROPEC ARUANA SA,Cancelado em 26/05/1995
160,AGROPEC BAIXO AMAZONAS SA,Cancelado em 01/08/2016
161,AGROPEC BARRA DAS PRINCESAS SA,Cancelado em 28/08/1998
162,AGROPEC BEBEDOURO SA,Cancelado em 24/10/2012
163,AGROPEC BELA VISTA SA,Cancelado em 14/02/2012
164,AGROPEC BELO HORIZONTE SA,Cancelado em 14/02/2012
165,AGROPEC BELO VALE SA,Cancelado em 08/04/1997
166,AGROPEC BETANIA SA,Cancelado em 14/02/2012
167,AGROPEC BOA ESPERANCA SA,Cancelado em 14/02/2012
168,AGROPEC BOA SORTE SA,Cancelado em 14/02/2012
169,AGROPEC BOA VISTA SA,Cancelado em 14/02/2012
170,AGROPEC BOA VISTA SA,Cancelado em 22/10/2003
171,AGROPEC BOA VISTA SA,Cancelado em 11/10/2016
172,AGROPEC BONOMO SA,Cancelado em 14/02/2012
173,AGROPEC BONOMO SA,Cancelado em 10/10/2016
174,AGROPEC BRITO IRMAOS SA,Cancelado em 14/02/2012
175,AGROPEC CAJABI SA,Cancelado em 28/09/2008
176,AGROPEC CAMBOA SA,Cancelado em 14/02/2012
177,AGROPEC CAMPO ALEGRE SA,Cancelado em 14/02/2012
178,AGROPEC CAMPOS SA,Cancelado em 28/08/1998
179,AGROPEC CANAFISTULA SA,Cancelado em 24/03/1998
180,AGROPEC CAROCA SA,Cancelado em 14/02/2012
181,AGROPEC CAROPA SA,Cancelado em 14/02/2012
182,AGROPEC CAROPA SA,Cancelado em 03/12/2012
183,AGROPEC CASCAVEL SA - AGROCASA,Cancelado em 14/02/2012
184,AGROPEC CAXIRIMBU SA,Cancelado em 14/02/2012
185,AGROPEC CEARENSE SA - ACESA,Cancelado em 28/09/2008
186,AGROPEC CEDROMINAS SA,Cancelado em 23/10/1992
187,AGROPEC CORACI PARANA SA,Cancelado em 14/02/2012
188,AGROPEC CORUMBIARA SA,Cancelado em 24/10/2012
189,AGROPEC CUPISSURA SA,Cancelado em 14/02/2012
190,AGROPEC DA BARRA SA,Cancelado em 14/02/2012
191,AGROPEC DA STA CRUZ SA,Cancelado em 14/02/2012
192,AGROPEC DA STA CRUZ SA,Cancelado em 08/11/2013
193,AGROPEC DEMETRIO SA,Cancelado em 14/02/2012
194,AGROPEC DEMETRIO SA,Cancelado em 08/01/2018
195,AGROPEC DIAMANTE SA - AGRODISA,Cancelado em 28/09/2008
196,AGROPEC DO BOSQUE SA,Cancelado em 14/02/2012
197,AGROPEC DO CACHIMBO SA,Cancelado em 03/06/1993
198,AGROPEC DO GUAMA SA,Cancelado em 14/02/2012
199,AGROPEC DO RETIRO SA,Cancelado em 14/02/2012
200,AGROPEC DUPLO T SA,Cancelado em 13/10/2015
201,AGROPEC E INDL MACHADO SA-AGRIMA,Cancelado em 05/10/2017
202,AGROPEC E INDL SANTANA SA,Cancelado em 28/09/2008
203,AGROPEC ESTRELA DO NORTE SA,Cancelado em 07/08/2006
204,AGROPEC ESTRELA SA,Cancelado em 14/02/2012
205,AGROPEC FAZ CATALUNHA SA,Cancelado em 20/09/2005
206,AGROPEC FAZ PARANA SA,Cancelado em 23/07/2002
207,AGROPEC FAZ PAU LEITE SA,Cancelado em 14/02/2012
208,AGROPEC FERNANDES SA,Cancelado em 14/02/2012
209,AGROPEC FERREIRA SA,Cancelado em 14/02/2012
210,AGROPEC FLECHAL SA,Cancelado em 03/11/2005
211,AGROPEC FLECHAL SA,Cancelado em 01/06/2015
212,AGROPEC FORQUILHA SA,Cancelado em 14/09/2010
213,AGROPEC FRANGO ACU SA,Cancelado em 14/02/2012
214,AGROPEC GERSON MARANHAO SA,Cancelado em 04/12/1992
215,AGROPEC GIFONI SALES SA,Cancelado em 28/09/2008
216,AGROPEC GRENDENE SA,Cancelado em 27/04/2001
217,AGROPEC HAKONE SA,Cancelado em 28/09/2008
218,AGROPEC ILHA DE NAZARE SA,Cancelado em 14/02/2012
219,AGROPEC INDEPENDENCIA SA,Cancelado em 14/02/2012
220,AGROPEC ITAMBE SA,Cancelado em 29/12/1993
221,AGROPEC ITAPEMIRIM SA,Cancelado em 21/03/1997
222,AGROPEC ITAPIRACO SA,Cancelado em 14/02/2012
223,AGROPEC JATOBA SA,Cancelado em 31/08/1993
224,AGROPEC JATOBA SA,Cancelado em 15/09/1997
225,AGROPEC JENIPAPO SA,Cancelado em 28/09/2008
226,AGROPEC LAGOA VERDE SA,Cancelado em 21/08/2009
227,AGROPEC LOPES SA,Cancelado em 16/06/1997
228,AGROPEC MALACACHETA SA,Cancelado em 14/02/2012
229,AGROPEC MARACAJA SA,Cancelado em 14/02/2012
230,AGROPEC MARFIM SA,Cancelado em 14/02/2012
231,AGROPEC MARIA PAZ NORTE SA,Cancelado em 14/02/2012
232,AGROPEC MONTE REI SA,Cancelado em 14/02/2012
233,AGROPEC MUCAMBE SA,Cancelado em 14/02/2012
234,AGROPEC MUCAMBO SA,Cancelado em 14/02/2012
235,AGROPEC MUCUBAL SA,Cancelado em 28/09/2008
236,AGROPEC MUNDO NOVO SA,Cancelado em 14/02/2012
237,AGROPEC MUSAMAR SA,Cancelado em 16/05/1997
238,AGROPEC N S DE FATIMA SA,Cancelado em 14/02/2012
239,AGROPEC NELSON ALMEIDA SA,Cancelado em 14/02/2012
240,AGROPEC NELSON ALMEIDA SA,Cancelado em 10/10/2014
241,AGROPEC NOIRUMBA SA,Cancelado em 14/02/2012
242,AGROPEC NOVA ERA SA,Cancelado em 14/02/2012
243,AGROPEC NOVA SERTANIA SA,Cancelado em 01/09/2004
244,AGROPEC NOVO MUNDO SA,Cancelado em 14/02/2012
245,AGROPEC NOVO MUNDO SA,Cancelado em 27/08/2013
246,AGROPEC OLINDA SA,Cancelado em 14/02/2012
247,AGROPEC OLIVEIRA MACIEL SA,Cancelado em 14/02/2012
248,AGROPEC PALMIRA DO NORTE SA,Cancelado em 14/02/2012
249,AGROPEC PEIXE BOI SA,Cancelado em 27/10/2005
250,AGROPEC PIMENTA BUENO SA,Cancelado em 24/10/2012
251,AGROPEC PINHO SA AGROPINHO,Cancelado em 14/02/2012
252,AGROPEC PIQUIA SA,Cancelado em 13/01/2006
253,AGROPEC PITITAL SA,Cancelado em 28/09/2008
254,AGROPEC PRACUUBA SA,Cancelado em 30/07/2012
255,AGROPEC QUIXADA SA,Cancelado em 14/02/2012
256,AGROPEC QUIXADA SA,Cancelado em 05/09/2018
257,AGROPEC REMANSO ACU SA,Cancelado em 28/09/2008
258,AGROPEC REUNIDOS PARAENSE SA,Cancelado em 02/01/1992
259,AGROPEC RIBEIRA DO MOXOTO SA,Cancelado em 28/09/2008
260,AGROPEC RICA SA,Cancelado em 20/03/1997
261,AGROPEC RICASTRO SA,Cancelado em 02/05/2016
262,AGROPEC RIO ARATAU SA,Cancelado em 23/03/2011
263,AGROPEC RIO BONITO SA,Cancelado em 14/02/2012
264,AGROPEC RIO CAUAXI SA,Cancelado em 14/02/2012
265,AGROPEC RIO DARRO SA,Cancelado em 21/10/1996
266,AGROPEC RIO DAS ANTAS SA,Cancelado em 28/07/1999
267,AGROPEC RIO DEZOITO SA,Cancelado em 14/02/2012
268,AGROPEC RIO DO OURO SA,Cancelado em 14/02/2012
269,AGROPEC RIO MEARIM SA,Cancelado em 14/02/2012
270,AGROPEC RIO MUDRIRE SA,Cancelado em 14/02/2012
271,AGROPEC RIO MUDRIRE SA,Cancelado em 20/07/2016
272,AGROPEC RIO NEGRO SA,Cancelado em 14/02/2012
273,AGROPEC RIO PIUM SA,Cancelado em 23/01/1992
274,AGROPEC RIO PRETO SA,Cancelado em 14/02/2012
275,AGROPEC RIO S JOAO SA,Cancelado em 14/02/2012
276,AGROPEC RIO VOLTA SA,Cancelado em 23/12/1999
277,AGROPEC RODRIGUES DO SANTOS SA,Cancelado em 03/11/2005
278,AGROPEC RONCADOR SA,Cancelado em 15/06/2000
279,AGROPEC SALES OLIVEIRA SA,Cancelado em 14/02/2012
280,AGROPEC SALGADO SA,Cancelado em 14/02/2012
281,AGROPEC SANTANA SA,Cancelado em 28/09/2008
282,AGROPEC SAO BOA VENTURA SA,Cancelado em 14/02/2012
283,AGROPEC SAO CAMILO SA,Cancelado em 14/02/2012
284,AGROPEC SAO JOAO SA,Cancelado em 30/09/2014
285,AGROPEC SAO NICOLAU SA,Cancelado em 14/02/2012
286,AGROPEC SAO PEDRO SA,Cancelado em 14/02/2012
287,AGROPEC SAO PEDRO SA,Cancelado em 29/07/2016
288,AGROPEC SAO ROBERTO SA,Cancelado em 15/08/2007
289,AGROPEC SEMPRE VERDE SA,Cancelado em 28/09/2008
290,AGROPEC SONHO DOURADO SA,Cancelado em 14/02/2012
291,AGROPEC STA ADELIA SA,Cancelado em 26/07/2011
292,AGROPEC STA IDÁLIA - AGROSANTA,Cancelado em 22/08/2003
293,AGROPEC STA INEZ SA,Cancelado em 28/09/2008
294,AGROPEC STA IZABEL SA-AGROSISA,Cancelado em 28/09/2008
295,AGROPEC STA MARTA SA,Cancelado em 14/02/2012
296,AGROPEC STA RITA DO MARAJO SA,Cancelado em 14/02/2012
297,AGROPEC STA RITA DO MARAJO SA,Cancelado em 12/04/2018
298,AGROPEC STA ROSA SA,Cancelado em 28/09/2008
299,AGROPEC STA TEREZA SA,Cancelado em 14/02/2012
300,AGROPEC STO ANTONIO DAS LENDAS SA,Cancelado em 24/07/2012
301,AGROPEC TAMARINDO SA,Cancelado em 07/11/1997
302,AGROPEC TAMBORIL VITORIA SA,Cancelado em 14/02/2012
303,AGROPEC TAPIRAPE SA,Cancelado em 25/10/2010
304,AGROPEC TAQUARY SA,Cancelado em 09/09/2004
305,AGROPEC TERRA FERTIL SA,Cancelado em 02/05/2008
306,AGROPEC TERRA GOYANA SA,Cancelado em 18/04/1996
307,AGROPEC TERRA KIKUIO SA,Cancelado em 18/04/1996
308,AGROPEC TERRA NOVA SA,Cancelado em 28/09/2008
309,AGROPEC THOME AFONSO SA,Cancelado em 14/02/2012
