,Names,Situacoes
174,COMPANHIA DE FIAÇÃO E TECIDOS SANTO ANTONIO,Concedido em 28/08/1992
175,COMPANHIA DE GÁS DE MINAS GERAIS - GASMIG,Concedido em 06/10/2020
176,COMPANHIA DE GÁS DE SÃO PAULO - COMGÁS,Concedido em 03/07/1996
177,COMPANHIA DE LOCAÇÃO DAS AMERICAS,Concedido em 30/12/2011
178,COMPANHIA DE SANEAMENTO DE MINAS GERAIS,Concedido em 17/09/2003
179,COMPANHIA DE SANEAMENTO DO TOCANTINS - SANEATINS,Concedido em 21/12/2015
180,COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB,Concedido em 04/07/1994
181,COMPANHIA ENERGÉTICA JAGUARA,Concedido em 27/04/2018
182,COMPANHIA ENERGÉTICA MIRANDA,Concedido em 27/04/2018
183,COMPANHIA ENERGÉTICA SINOP S.A.,Concedido em 22/06/2017
184,COMPANHIA INDUSTRIAL CATAGUASES,Concedido em 19/12/1973
185,COMPANHIA ITAUNENSE ENERGIA E PARTICIPAÇÕES,Concedido em 02/04/1969
186,COMPANHIA MINEIRA DE AÇUCAR E ALCOOL PARTICIPAÇÕES,Concedido em 04/03/2009
187,COMPANHIA PARANAENSE DE ENERGIA,Concedido em 04/04/1994
188,COMPANHIA PAULISTA DE FORCA LUZ - CPFL,Concedido em 19/08/1969
189,COMPANHIA PAULISTA DE SECURITIZAÇÃO,Concedido em 20/07/2010
190,COMPANHIA PETROQUIMICA DO NORDESTE,Concedido em 21/08/1989
191,COMPANHIA SEC. DE CRÉDITOS FIN. CARTÕES CONSIGNADOS BMG,Concedido em 14/06/2017
192,COMPANHIA SECURITIZADORA DE CRÉD. FINANCEIROS VERT-FINTECH,Concedido em 28/08/2018
193,COMPANHIA SECURITIZADORA DE CRÉD. FINANCEIROS VERT-NEXOOS,Concedido em 28/08/2018
194,COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS VERT-GYRA,Concedido em 30/07/2020
195,COMPANHIA SECURITIZADORA DE CRÉDITOS FINANCEIROS VERT-PROVI,Concedido em 05/11/2020
196,COMPANHIIA HABITASUL DE PARTICIPAÇÕES,Concedido em 19/04/1982
197,COMPASS GÁS E ENERGIA S.A.,Concedido em 28/09/2020
198,COMPESCA CIA BRAS DE PESCA - EM LIQUIDAÇÃO,Concedido em 20/07/1977
199,CONC RODOVIAS DO TIETÊ S.A.- EM RECUPERAÇÃO JUDICIAL,Concedido em 09/02/2012
200,CONC. DO AEROPORTO INTERNACIONAL DE GUARULHOS S.A.,Concedido em 24/10/2014
201,CONCEBRA - CONCESSIONARIA DAS RODOVIAS CENTRAIS DO BRASIL S.A.,Concedido em 19/02/2016
202,CONCESSÃO METROVIÁRIA DO RIO DE JANEIRO SA,Concedido em 20/09/2010
203,CONCESSIONARIA AUTO RAPOSO TAVARES SA-CART,Concedido em 22/11/2010
204,CONCESSIONÁRIA BR-040 S.A.,Concedido em 18/03/2016
205,CONCESSIONÁRIA DA RODOVIA MG-050 S.A.,Concedido em 06/03/2017
206,CONCESSIONÁRIA DAS RODOVIAS AYRTON SENNA E CARVALHO PINTO S/A-ECOPISTAS,Concedido em 22/02/2011
207,CONCESSIONÁRIA DAS RODOVIAS INTEGRADAS DO SUL S.A.,Concedido em 04/12/2020
208,CONCESSIONÁRIA DE RODOVIA SUL-MATOGROSSENSE S.A.,Concedido em 03/02/2016
209,CONCESSIONARIA DE RODOVIAS DO INTERIOR PAULISTA S/A,Concedido em 27/11/2009
210,CONCESSIONARIA DE RODOVIAS DO OESTE DE SP-VIA OESTE SA,Concedido em 27/07/2007
211,CONCESSIONÁRIA DO SISTEMA ANHANGUERA-BANDEIRANTES S.A.,Concedido em 19/07/2006
212,CONCESSIONARIA ECOVIAS DOS IMIGRANTES SA,Concedido em 18/12/2006
